group,context_length,prediction_length,learning_rate,num_steps,batch_size,stride,n_eval_samples,group_name,mean_quantile_loss,mean_mse,mean_mae
global,160,4,3.1684008576786285e-05,1400,16,25,100,global,0.007350990083068609,0.000554779835510999,0.016376275569200516
global,192,2,2.2079598990791412e-05,1000,40,50,50,global,0.006212410517036915,0.0004020646447315812,0.014144759625196457
global,64,5,1.4011463725089326e-05,600,40,25,100,global,0.0076794978231191635,0.0005290334229357541,0.01708393171429634
global,96,4,1.391375997245784e-06,300,96,50,150,global,0.007975541986525059,0.0005754308658652008,0.017697324976325035
global,192,1,7.743325805552401e-06,400,88,25,150,global,0.007076072506606579,0.00045836667413823307,0.01567901484668255
global,160,2,2.5949617638073453e-06,800,96,50,50,global,0.008449310436844826,0.000763554940931499,0.018645187839865685
global,96,2,1.41899180739461e-05,1500,56,25,50,global,0.008941881358623505,0.0006417486001737416,0.019924473017454147
global,160,3,1.0568616364285912e-06,700,32,75,100,global,0.007811222691088915,0.0005985652096569538,0.01708056405186653
global,256,3,1.0466335287935699e-06,1300,16,25,200,global,0.00730328680947423,0.0004833960556425154,0.016269586980342865
global,160,3,1.8276480924536197e-06,500,8,50,50,global,0.008199301548302174,0.0007368640508502722,0.018108688294887543
global,256,1,4.945039605219277e-05,1000,64,100,200,global,0.006475941743701696,0.0004180201212875545,0.014436100609600544
global,256,1,4.9574654475192706e-05,1100,72,100,200,global,0.006550673395395279,0.0004174758505541831,0.014446429908275604
global,224,1,2.5826259505099212e-05,1000,64,100,150,global,0.00707999849691987,0.00045077517279423773,0.01546099316328764
global,224,2,4.884710003711586e-05,1100,40,75,200,global,0.006778527982532978,0.00044221029384061694,0.015275467187166214
global,224,2,2.3253558105179742e-05,900,72,75,150,global,0.006986382883042097,0.0004457029572222382,0.015546134673058987
global,192,1,3.956074043071642e-06,1200,48,100,100,global,0.00616493821144104,0.0003949817910324782,0.014080450870096684
global,192,2,4.824922017499827e-06,1200,32,75,50,global,0.007491080090403557,0.0005515941302292049,0.016674814745783806
global,128,1,4.532332622954259e-06,1300,48,50,100,global,0.006051235366612673,0.00041977697401307523,0.013792183250188828
global,128,1,3.113813151474403e-06,1500,48,100,100,global,0.005991882178932428,0.000432582019129768,0.013926041312515736
global,128,4,6.4012009286065575e-06,1500,56,75,100,global,0.006176822818815708,0.00042383448453620076,0.014102625660598278
Information Technology,224,3,6.666338587164216e-06,500,40,100,50,Information Technology,0.008960466831922531,0.0007472583674825728,0.019832467660307884
Information Technology,64,4,5.4812259697325215e-06,900,80,100,100,Information Technology,0.008317158557474613,0.0006672497256658971,0.018880324438214302
Information Technology,192,4,1.4195188560615593e-06,800,32,25,100,Information Technology,0.0099954167380929,0.0009513250552117825,0.022212419658899307
Information Technology,192,3,4.800554941509747e-06,1500,48,25,100,Information Technology,0.010406902059912682,0.0009551048860885203,0.023039905354380608
Information Technology,64,1,3.322775975736325e-05,900,80,25,50,Information Technology,0.010428757406771183,0.0009358485112898052,0.022826671600341797
Information Technology,64,1,8.382577597150253e-06,1200,40,100,50,Information Technology,0.00778769189491868,0.000581917935051024,0.01736728474497795
Information Technology,64,2,2.0843853898896138e-05,1100,16,75,200,Information Technology,0.008793126791715622,0.0007305940962396562,0.019807731732726097
Information Technology,128,4,1.112192816052535e-06,300,16,100,100,Information Technology,0.00848514772951603,0.0008022688562050462,0.019384197890758514
Information Technology,96,2,2.9455610247265106e-05,800,16,25,50,Information Technology,0.008106287568807602,0.0005635980633087456,0.017837071791291237
Information Technology,224,5,1.3788149358748084e-05,600,40,75,50,Information Technology,0.00799157191067934,0.0006419612327590585,0.018011467531323433
Information Technology,128,1,2.2411999653896424e-06,1400,72,50,200,Information Technology,0.008818784728646278,0.0008206397178582847,0.01990259252488613
Information Technology,256,5,1.4263238563645135e-05,1200,64,75,150,Information Technology,0.00781234260648489,0.0006219386705197394,0.01741967536509037
Information Technology,256,5,1.1649537527960844e-05,1200,64,75,150,Information Technology,0.00824728049337864,0.0006656951154582202,0.018214436247944832
Information Technology,160,2,1.1207552329400998e-05,1200,96,50,150,Information Technology,0.010161982849240303,0.001045574084855616,0.02229098044335842
Information Technology,256,1,4.90060533373455e-05,1300,56,100,150,Information Technology,0.007663392927497625,0.0006058370927348733,0.01680060476064682
Information Technology,160,1,4.583792936491346e-05,1400,56,100,150,Information Technology,0.009578547440469265,0.0009378095273859799,0.0204743891954422
Information Technology,128,1,3.0587248550008276e-06,1100,32,100,200,Information Technology,0.008346629329025745,0.0007776271086186171,0.01920402981340885
Information Technology,96,2,4.757865681955919e-05,1500,48,100,100,Information Technology,0.0076561905443668365,0.000606046465691179,0.016991443932056427
Information Technology,96,2,4.963640494314143e-05,1500,56,50,150,Information Technology,0.00924375094473362,0.0008165524341166019,0.020745020359754562
Information Technology,160,3,2.3515080834848222e-05,1400,96,75,100,Information Technology,0.00949814636260271,0.0009469626238569617,0.020125703886151314
Health Care,192,1,3.291689963606032e-05,900,96,50,100,Health Care,0.005689352285116911,0.000259650667430833,0.011865348555147648
Health Care,64,3,1.5587814746278606e-06,900,88,100,100,Health Care,0.00654616067185998,0.00042690723785199225,0.014633093029260635
Health Care,128,5,1.3361996971924892e-06,1300,8,100,200,Health Care,0.006075228564441204,0.0003573460562620312,0.013854886405169964
Health Care,96,4,4.4672794373045176e-05,800,8,25,100,Health Care,0.009400852024555206,0.0006554999854415655,0.020577190443873405
Health Care,96,5,1.599252298129342e-06,1000,40,50,150,Health Care,0.00797301810234785,0.0005325928214006126,0.01774510368704796
